company_id,model_name,train_time,test_time,mape
"101111010","model_0",0.06777262688,0.04123806953,9.37
"103700030","model_1",0.06573820114,0.04123306274,12.29
"107675070","model_2",0.07545518875,0.04134225845,221.51
"102840020","model_3",0.06833076477,0.04185056686,7.61
"1068826767","model_4",0.05868625641,0.04084062576,11.81
"104900040","model_5",0.06940531731,0.04160404205,12.2
"102100020","model_6",0.06079626083,0.04153013229,11.29
"101600010","model_7",0.07571077347,0.04145240784,15.06
"101200010","model_8",0.06376791,0.04199457169,12.89
"104119040","model_9",0.0636677742,0.04168438911,14.55
"102113020","model_10",0.06291556358,0.04093337059,7.8
"103800030","model_11",0.06815290451,0.04125761986,24.69
"103338333","model_12",0.06882953644,0.04214787483,12.83
"104400040","model_13",0.0653488636,0.04131913185,9.34
"105100050","model_14",0.06578326225,0.04186797142,24.03
"104122040","model_15",0.06617307663,0.04191756248,16.9
"105000050","model_16",0.06945347786,0.04133272171,12.03
"104470040","model_17",0.06673192978,0.04180455208,9.84
"104300040","model_18",0.06797766685,0.04212331772,12.35
"103600030","model_19",0.06097865105,0.04151844978,8.26
"101820010","model_20",0.07220387459,0.04151678085,22.66
"107800070","model_21",0.06224989891,0.04161119461,11.23
"101380010","model_22",0.06395578384,0.0415699482,12.8
"103400030","model_23",0.06800484657,0.04186320305,65.25
"103003434","model_24",0.06178832054,0.04094266891,8.95
"101410010","model_25",0.07572960854,0.04100942612,17.6
"103000030","model_26",0.06129479408,0.04131555557,16.22
"103680030","model_27",0.07037520409,0.04156255722,6.98
"103450030","model_28",0.0645980835,0.0412209034,26.11
"105150050","model_29",0.06867098808,0.04148936272,32.09
"101780010","model_30",0.06398296356,0.04104423523,8.23
"102500020","model_31",0.06674361229,0.04123926163,17.56
"105200050","model_32",0.06641697884,0.04138708115,62.1
"103760030","model_33",0.07918930054,0.04138588905,8.38
"103663232","model_34",0.06377077103,0.04141259193,22.92
"1072543979","model_35",0.06263780594,0.04125618935,7.85
"107047070","model_36",0.06703424454,0.04133057594,18.99
"104173545","model_37",0.06094121933,0.04111242294,12.63
"102820020","model_38",0.0656516552,0.0418381691,5.3
"1071575676","model_39",0.06813931465,0.0414659977,45.45
"101800010","model_40",0.0591917038,0.04090309143,77.8
"1075480777","model_41",0.06792259216,0.04122400284,11.16
"102114020","model_42",0.07120108604,0.04169344902,19.68
"104850040","model_43",0.0610640049,0.04138374329,13.66
"104200040","model_44",0.06538200378,0.04156208038,11.47
"107025373","model_45",0.06061673164,0.04124045372,19.86
"107143070","model_46",0.06014823914,0.04201817513,15.2
"105210050","model_47",0.07039570808,0.04161596298,42.96
"102800020","model_48",0.0603313446,0.04135847092,59.07
"104000040","model_49",0.06236362457,0.04176855087,48.99
"102700020","model_50",0.06141901016,0.04108762741,12.51
"103010030","model_51",0.06373000145,0.04225993156,9.7
"102400020","model_52",0.06084084511,0.04182481766,12.2
"102550020","model_53",0.06377363205,0.0415418148,18.02
"107192171","model_54",0.06034684181,0.04148626328,16.1
"102370020","model_55",0.06154251099,0.04191112518,12.62
"104812141","model_56",0.07166242599,0.04132246971,9.85
"104800141","model_57",0.05932450294,0.04124355316,19.24
"105400050","model_58",0.06985569,0.04105305672,29.82
"108500080","model_59",0.07731771469,0.04227161407,10.29
"107203676","model_60",0.06450271606,0.04177546501,9.74
"107756777","model_61",0.05923652649,0.04158115387,23.55
"104610040","model_62",0.05627846718,0.04117774963,7.93
"107007474","model_63",0.06242847443,0.04150366783,10.47
"103410030","model_64",0.06893968582,0.04182076454,23.61
"104460040","model_65",0.06155014038,0.04178142548,19.61
"101450010","model_66",0.06174206734,0.04121184349,24.41
"1089470080","model_67",0.06582975388,0.04123401642,17.84
"107274575","model_68",0.06034564972,0.04183197021,15.29
"104100040","model_69",0.05916237831,0.04165768623,13.71
"104125040","model_70",0.06689953804,0.04185366631,16.98
"109955595","model_71",0.06044650078,0.0411157608,10.97
"103500030","model_72",0.06090092659,0.04201579094,10.89
"107203070","model_73",0.07067513466,0.04185175896,20.11
"103120030","model_74",0.07506465912,0.04107666016,60.58
"101121313","model_75",0.06486201286,0.04022908211,29.88
"104450040","model_76",0.07047343254,0.04096412659,12.68
"108523989","model_77",0.06506276131,0.04146981239,12.12
"107199070","model_78",0.06167697906,0.04216480255,23.67
"103620030","model_79",0.06310606003,0.0412504673,13.44
"104126040","model_80",0.07766842842,0.04150867462,34.92
"104119646","model_81",0.06447434425,0.04128956795,128.37
"103320030","model_82",0.0604698658,0.04152584076,12.06
"104154848","model_83",0.06035256386,0.04212379456,13.81
"107341070","model_84",0.0679526329,0.04206371307,16.83
"107127979","model_85",0.06479287148,0.04184055328,16.38
"102310020","model_86",0.06911754608,0.04157781601,7.29
"107989373","model_87",0.06056022644,0.04104971886,5.43
"104149747","model_88",0.06772661209,0.04165363312,12.41
"107910070","model_89",0.06398916245,0.04183340073,20.3
"107261373","model_90",0.06149554253,0.04171299934,17.2
"107790070","model_91",0.06023216248,0.04124903679,17.89
"104130343","model_92",0.06611633301,0.04245996475,38.68
"103040030","model_93",0.06243371964,0.04182505608,20.14
"107218070","model_94",0.06472826004,0.04144454002,9.48
"102000020","model_95",0.0648522377,0.04115891457,34.56
"1061029060","model_96",0.07302546501,0.04164958,38.32
"103582636","model_97",0.06407737732,0.04155611992,9.96
"1076211171","model_98",0.06272625923,0.04133749008,14.08
"102900020","model_99",0.06336021423,0.04193091393,17.8
"104740040","model_100",0.06367373466,0.04161834717,9.77
"104113040","model_101",0.06352257729,0.04086065292,19.58
"102580020","model_102",0.0661945343,0.04097485542,27.15
"107778272","model_103",0.06527376175,0.04215335846,25
"107940070","model_104",0.05696463585,0.04176306725,11.69
"104650040","model_105",0.07243061066,0.04173922539,13.95
"104500040","model_106",0.06215500832,0.04171609879,61098.35
"107572070","model_107",0.05835676193,0.04212117195,50.7
"102073525","model_108",0.06020641327,0.04175138474,31.69
"102570020","model_109",0.0654168129,0.04186940193,21.36
"101300010","model_110",0.07580161095,0.04225349426,12.63
"103100030","model_111",0.06051540375,0.04231858253,10.76
"1088491282","model_112",0.05904126167,0.04183268547,9.93
"106414464","model_113",0.06330037117,0.0419113636,11.9
"102200020","model_114",0.06287097931,0.04242300987,21.89
"102410020","model_115",0.05809807777,0.04190564156,14.27
"101115010","model_116",0.05848050117,0.04197144508,13.07
"107680878","model_117",0.06758904457,0.04195070267,13.99
"101370010","model_118",0.06519436836,0.04244065285,14.41
